tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pcode,pop_est,child_share,elderly_share,pop_urban,pop_rural,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,area_km2,pop_density
T01,Thongwa,South,MMR013D003,3339.3913775185897,3603.8031795839934,0.8237817398601136,28,15.878115725104362,0.4754793293172768,924.965346651299,547,4.283411502838135,-0.6969088315963745,15.993385314941406,1.0308566189530408,MMR013025,157876,0.2755580328865692,0.06005345967721503,28018,129858.0,7,5,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,720.8834646671315,219.00349742783928
T02,Kyauktan,South,MMR013D003,3003.286451079189,3237.8493360887214,0.8117188087633505,28,13.54308641711453,0.4509422140617992,843.3485690233181,547,3.875187635421753,-1.123222827911377,41.09972381591797,1.1273959858881673,MMR013024,167448,0.25603172328125745,0.05505589795040849,51612,115836.0,3,13,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,802.4981138787064,208.65843433659327
T03,Insein,North,MMR013D001,2365.5771776941087,2702.2787392020227,0.7950717423760285,28,14.475639551944742,0.6119284413309714,635.1207534790038,547,11.478455543518066,-2.932875871658325,41.23202896118164,4.382091138774324,MMR013001,305283,0.2132709649734836,0.05822793932187511,305283,0.0,57,102,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,29.82500675693529,10235.80656621349
T04,Hmawbi,North,MMR013D001,2440.298509727675,2780.750494484244,0.8154041648621918,28,17.457983599943518,0.7154036086303122,637.282110174771,547,12.187408447265625,-3.007007122039795,71.29759216308594,2.4858660412593854,MMR013003,244607,0.27146811007043953,0.05026021332177738,25960,218647.0,12,10,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,471.3539625223326,518.9454623252702
T05,Kayan,South,MMR013D003,3371.4150593759064,3645.8078126211417,0.825503945734157,28,16.792717440308866,0.4980910728748249,905.6982091955236,547,4.456961154937744,-1.5338441133499146,20.336652755737305,1.0831140905898986,MMR013026,158019,0.2838519418550934,0.06160018731924642,32977,125042.0,0,7,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,636.7257740689168,248.17434197802177
T06,Dagon Myothit (North),East,MMR013D002,2511.336550779475,2873.2424332082273,0.7899748356770787,28,15.31950741536692,0.6100141142218477,659.2889602661132,547,5.297849655151367,1.0,19.063323974609375,2.5257655773881265,MMR013019,203948,0.20545923470688607,0.08876282189577736,203948,0.0,55,32,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,23.855573921863765,8549.2807956752
T07,Pazundaung,East,MMR013D002,2345.9514061027103,2683.9191387176515,0.7739141158525604,28,14.620371456925273,0.6232171484410178,598.154504394531,547,10.579692840576172,0.5,27.65127182006836,7.716304911177572,MMR013016,48455,0.1687545144979878,0.08209679083685895,48455,0.0,17,18,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,1.1342253741363548,42720.78645471638
T08,Kungyangon,South,MMR013D003,2765.2038291247063,2974.8564423315665,0.8083882891840642,28,10.695743160644929,0.38679764030380875,786.4672124526077,547,4.1105241775512695,-0.3132815957069397,45.48654556274414,1.392234252847387,MMR013029,111632,0.29032893793894227,0.055557546223305145,16627,95005.0,5,6,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,595.4630543276155,187.47090888124458
T09,Kyauktada,West,MMR013D004,2345.9514061027103,2683.9191387176515,0.7739141158525604,28,14.620371456925273,0.6232171484410178,598.154504394531,547,14.511956214904785,-4.363089084625244,26.119022369384766,10.024066197242822,MMR013033,29853,0.14360365792382676,0.09452986299534386,29853,0.0,5,12,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,0.6611901054890482,45150.4034197839
T10,Lanmadaw,West,MMR013D004,2232.2792045116425,2528.7474183321,0.7765359470720333,28,12.510922384199295,0.5604550881858131,578.474932861328,547,15.493855476379395,-7.572336196899414,26.75737190246582,7.2233697100273915,MMR013035,47160,0.1180025445292621,0.07879558948261238,47160,0.0,34,32,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,1.356274842098982,34771.71332546049
