dfo_id,glide_number,start_date,end_date,country,main_cause,severity,fatalities,displaced,area_km2,source,in_yangon_documented_year
432,,1990-07-04,1990-07-05,Myanmar,Heavy rain,1.0,0,300,"33,893",News,0
536,,1991-07-10,1991-07-23,Myanmar,Heavy rain,1.0,0,17570,"128,983",News,1
560,,1991-08-07,1991-08-09,Myanmar,Heavy rain,2.0,1,210250,"55,417",News,1
574,,1991-08-18,1991-08-19,Myanmar,Heavy rain,1.0,0,29674,"30,248",News,1
678,,1992-08-10,1992-08-20,Myanmar,Heavy rain,1.0,0,0,"33,972",News,0
1009,,1995-09-26,1995-10-10,Myanmar,Heavy rain,1.0,50,20000,"164,736",News,0
1176,,1997-08-10,1997-08-20,Myanmar,Monsoonal rain,1.0,100,3000,"70,640",News,1
2041,,2002-08-17,2002-09-04,Myanmar,Monsoonal rain,2.0,0,5000,"125,461",News,1
2037,,2002-08-17,2002-09-20,"Thailand,Myanmar",Heavy rain,1.0,2,150000,"51,699",News,1
2276,,2003-07-02,2003-09-01,Myanmar,Monsoonal rain,1.0,0,0,"235,096",News,0
2859,,2006-04-29,2006-05-05,Myanmar,Tropical cyclone,1.0,21,800,"77,889",News,0
2918,,2006-07-03,2006-07-12,Myanmar,Monsoonal rain,1.0,1,0,"154,656",News,0
2970,FL-2006-000147-MMR,2006-09-15,2006-10-19,Myanmar,Monsoonal rain,1.0,25,10000,"187,994",News,0
3068,FL-2007-000053-MMR,2007-05-04,2007-05-09,Myanmar,Heavy rain,1.0,5,0,"15,667",News,1
3125,,2007-07-06,2007-08-01,Myanmar,Monsoonal rain,1.0,0,3000,"119,074",News,1
3169,FL-2007-000146-MMR,2007-08-14,2007-10-04,Myanmar,Monsoonal rain,1.0,2,40000,"257,819",News,1
3302,TC-2008-000057-MMR,2008-05-03,2008-05-22,Myanmar,Tropical cyclone,1.5,100000,1500000,"81,435",News,1
3662,FL-2010-000115-MMR,2010-06-15,2010-06-26,Myanmar,Monsoonal Rain,1.0,60,0,"94,870",0,1
3704,,2010-08-01,2010-09-01,Myanmar,Torrential rain,1.0,0,20000,"4,327",News,1
3970,,2012-07-15,2012-08-29,Myanmar,Monsoonal Rain,1.0,0,85000,"219,815",News,0
4056,2013-TC-000060-MMR and BGD,2013-05-14,2013-05-16,"Bangladesh,Myanmar",Tropical Storm Mahasen,1.5,19,1166000,"72,848",News,1
4081,,2013-07-25,2013-08-07,"Myanmar,Thailand",Heavy rain,1.5,1,34000,"125,251",News,1
4283,,2015-07-15,2015-08-19,Myanmar,Monsoonal Rain,2.0,88,85400,"296,424",News,1
4365,FL-2016-000058-MMR,2016-06-01,2016-08-16,Myanmar,Monsoonal Rain,2.0,16,25000,"93,840",News,0
4632,,2018-06-15,2018-06-20,Myanmar,Monsoonal Rain,1.5,1,1000,"98,881",FloodList,0
4666,,2018-07-15,2018-08-10,Myanmar,Monsoonal Rain,1.5,11,120000,"46,815",FloodList,0
4675,,2018-08-15,2018-09-07,"India,Myanmar",Monsoonal Rain,1.5,11,2000,"28,865",FloodList,0
4781,,2019-07-15,2019-08-09,Myanmar,Monsoonal Rain,1.5,0,46000,"176,886",FloodList,1
4949,,2020-07-15,2020-07-30,Myanmar,Monsoonal Rain,1.0,0,6516,"46,562",FloodList,1
5100,,2021-07-25,2021-07-29,"Myanmar,Bangladesh",Monsoonal Rain,1.5,0,48500,"126,119",FloodList,0
5264,,2022-08-10,2022-08-12,"Viet Nam,Thailand, Myanmar, Lao People&#039;s Democratic Republic",Heavy rain,1.5,5,0,"240,000",FloodList,0
5468,,2023-09-07,2023-09-08,Myanmar,Heavy rain,1.0,0,1000,"1,144",News,0
5473,,2023-10-06,2023-10-10,Myanmar,Heavy rain,1.5,5,14934,"4,674",FloodList,0
