tship_code,township,district,schools,health_facilities,pop_est,schools_per_100k,health_per_100k
T01,Thongwa,South,7,5,157876,4.433859484658846,3.1670424890420334
T02,Kyauktan,South,3,13,167448,1.7916009746309303,7.763604223400698
T03,Insein,North,57,102,305283,18.671200165092717,33.411621348060656
T04,Hmawbi,North,12,10,244607,4.905828533116386,4.088190444263656
T05,Kayan,South,0,7,158019,0.0,4.429847043709934
T06,Dagon Myothit (North),East,55,32,203948,26.96765842273521,15.690273991409576
T07,Pazundaung,East,17,18,48455,35.08409864823032,37.147869156949746
T08,Kungyangon,South,5,6,111632,4.479002436577326,5.374802923892791
T09,Kyauktada,West,5,12,29853,16.74873547047198,40.19696512913275
T10,Lanmadaw,West,34,32,47160,72.09499575911791,67.85411365564038
T11,Hlegu,North,22,16,270741,8.125847211911015,5.90970706320801
T12,Htantabin,North,9,12,145792,6.173178226514487,8.230904302019315
T13,Botahtaung,East,19,21,40995,46.34711550189047,51.22575923893158
T14,Mayangone,West,33,39,198113,16.657160307501275,19.685734908865143
T15,Kyeemyindaing,West,16,29,111514,14.34797424538623,26.005703319762542
T16,Latha,West,10,17,25057,39.9090074629844,67.84531268707347
T17,Mingalartaungnyunt,East,11,14,132494,8.302262743973312,10.566516219602397
T18,Tamwe,East,43,83,165313,26.01126348200081,50.20778765130389
T19,Thaketa,East,57,31,220556,25.84377663722592,14.055387293929886
T20,Dagon Myothit (East),East,39,19,165628,23.546743304272223,11.471490327722366
T21,Ahlone,West,11,12,55482,19.82624995494034,21.62863631448037
T22,Shwepyithar,North,72,76,343526,20.959112265156058,22.12350739099806
T23,Sanchaung,West,43,41,99619,43.16445657956815,41.15680743633243
T24,Kawhmu,South,8,6,119050,6.719865602687945,5.03989920201596
T25,North Okkalapa,East,107,127,333293,32.103884570032974,38.10461065788961
T26,Cocokyun,South,0,0,1940,0.0,0.0
T27,Yankin,East,15,12,70946,21.142841034025878,16.914272827220703
T28,Thanlyin,South,37,15,268063,13.802725478712095,5.595699518396795
T29,Mingaladon,North,27,26,331586,8.142683949262032,7.841103062252326
T30,Dagon Myothit (South),East,33,29,371646,8.87941751021133,7.803124478670563
T31,Kamaryut,West,139,25,84569,164.3628279866145,29.56165970982275
T32,Thingangyun,East,51,62,209486,24.345302311371643,29.596249868726314
T33,Bahan,West,47,39,96732,48.587850969689455,40.3175784642104
T34,Dawbon,East,12,9,75325,15.930965814802523,11.948224361101893
T35,Pabedan,West,6,16,33336,17.998560115190784,47.99616030717542
T36,Twantay,South,5,5,226836,2.204235659242801,2.204235659242801
T37,Seikgyikanaungto,South,2,2,34003,5.881833955827427,5.881833955827427
T38,Dagon,West,14,6,25082,55.81692050075751,23.921537357467507
T39,Seikkan,West,1,2,2826,35.38570417551309,70.77140835102618
T40,South Okkalapa,East,46,39,161126,28.549085808621825,24.20465970730981
T41,Taikkyi,North,5,10,277268,1.8033094334723083,3.6066188669446166
T42,Hlaing,West,46,48,160307,28.694941580841757,29.94254773653053
T43,Dala,South,21,7,172857,12.148770370884604,4.049590123628201
T44,Hlaingtharya,North,103,22,687867,14.973824881844893,3.1982926932095883
T45,Dagon Myothit (Seikkan),East,15,24,167448,8.958004873154652,14.332807797047442
