date,year,month,month_name,rainfall_mm,documented_flood_year
1981-01-01,1981,1,January,2.6738282692800412,False
1981-02-01,1981,2,February,4.433361898939297,False
1981-03-01,1981,3,March,6.6803727685879455,False
1981-04-01,1981,4,April,11.437613205058046,False
1981-05-01,1981,5,May,215.99698721350487,False
1981-06-01,1981,6,June,654.0624074042172,False
1981-07-01,1981,7,July,325.258234177561,False
1981-08-01,1981,8,August,652.6767935505776,False
1981-09-01,1981,9,September,371.79573161704536,False
1981-10-01,1981,10,October,177.1189291006675,False
1981-11-01,1981,11,November,125.023812210941,False
1981-12-01,1981,12,December,4.609399203625903,False
1982-01-01,1982,1,January,2.6326377012960966,False
1982-02-01,1982,2,February,3.267919563077382,False
1982-03-01,1982,3,March,5.344572625701062,False
1982-04-01,1982,4,April,5.712390114348937,False
1982-05-01,1982,5,May,243.8207500924612,False
1982-06-01,1982,6,June,590.9799185419556,False
1982-07-01,1982,7,July,467.3061210102388,False
1982-08-01,1982,8,August,802.6597319942588,False
1982-09-01,1982,9,September,335.4441832991393,False
1982-10-01,1982,10,October,151.93914598298835,False
1982-11-01,1982,11,November,12.054481737537447,False
1982-12-01,1982,12,December,3.9001417165948644,False
1983-01-01,1983,1,January,2.70040109310024,False
1983-02-01,1983,2,February,3.328246191751865,False
1983-03-01,1983,3,March,5.53720978137348,False
1983-04-01,1983,4,April,3.3287121062439096,False
1983-05-01,1983,5,May,145.26569442160206,False
1983-06-01,1983,6,June,378.93901637370686,False
1983-07-01,1983,7,July,697.3617324576751,False
1983-08-01,1983,8,August,591.2384480536313,False
1983-09-01,1983,9,September,297.08524468873014,False
1983-10-01,1983,10,October,266.76419908550895,False
1983-11-01,1983,11,November,155.20356461336752,False
1983-12-01,1983,12,December,6.46260937657351,False
1984-01-01,1984,1,January,2.8431479081166486,False
1984-02-01,1984,2,February,5.2555561980772705,False
1984-03-01,1984,3,March,7.849052177275949,False
1984-04-01,1984,4,April,40.55961151186135,False
