township,rank_0,rank_1,rank_2,rank_3,rank_4,rank_min,rank_max,rank_spread
Thongwa,2,2,2,3,2,2,3,1
Kyauktan,6,4,6,6,3,3,6,3
Insein,16,20,15,13,21,13,21,8
Hmawbi,26,26,24,26,25,24,26,2
Kayan,1,1,1,2,1,1,2,1
Dagon Myothit (North),10,9,9,10,10,9,10,1
Pazundaung,23,23,25,21,24,21,25,4
Kungyangon,7,6,5,11,5,5,11,6
Kyauktada,34,34,34,34,35,34,35,1
Lanmadaw,41,41,42,40,42,40,42,2
Hlegu,33,36,30,36,34,30,36,6
Htantabin,24,24,22,25,23,22,25,3
Botahtaung,32,30,33,32,29,29,33,4
Mayangone,36,35,37,35,36,35,37,2
Kyeemyindaing,27,28,27,28,28,27,28,1
Latha,39,39,39,39,38,38,39,1
Mingalartaungnyunt,25,25,26,24,26,24,26,2
Tamwe,15,19,17,12,20,12,20,8
Thaketa,17,17,18,14,17,14,18,4
Dagon Myothit (East),18,14,16,18,13,13,18,5
Ahlone,42,40,41,41,39,39,42,3
Shwepyithar,9,12,8,7,15,7,15,8
Sanchaung,35,37,36,33,37,33,37,4
Kawhmu,12,11,11,17,7,7,17,10
North Okkalapa,3,3,3,1,6,1,6,5
Cocokyun,37,31,43,38,31,31,43,12
Yankin,31,29,31,31,27,27,31,4
Thanlyin,4,5,4,5,4,4,5,1
Mingaladon,28,27,28,27,30,27,30,3
Dagon Myothit (South),8,8,10,8,8,8,10,2
Kamaryut,38,38,38,37,40,37,40,3
Thingangyun,11,13,14,9,14,9,14,5
Bahan,43,42,40,42,44,40,44,4
Dawbon,22,22,23,22,22,22,23,1
Pabedan,29,33,29,29,32,29,33,4
Twantay,14,15,12,19,11,11,19,8
Seikgyikanaungto,21,21,21,23,19,19,23,4
Dagon,45,45,45,45,45,45,45,0
Seikkan,44,43,44,44,43,43,44,1
South Okkalapa,19,18,19,15,18,15,19,4
Taikkyi,40,44,35,43,41,35,44,9
Hlaing,30,32,32,30,33,30,33,3
Dala,13,10,13,16,9,9,16,7
Hlaingtharya,5,7,7,4,12,4,12,8
Dagon Myothit (Seikkan),20,16,20,20,16,16,20,4
