township,pop_est,pop_density,schools,health_facilities,elev_mean_m
Thongwa,157876,219.0,7,5,4.28
Kyauktan,167448,208.66,3,13,3.88
Insein,305283,10235.81,57,102,11.48
Hmawbi,244607,518.95,12,10,12.19
Kayan,158019,248.17,0,7,4.46
Dagon Myothit (North),203948,8549.28,55,32,5.3
Pazundaung,48455,42720.79,17,18,10.58
Kungyangon,111632,187.47,5,6,4.11
Kyauktada,29853,45150.4,5,12,14.51
Lanmadaw,47160,34771.71,34,32,15.49
Hlegu,270741,179.28,22,16,36.37
Htantabin,145792,243.27,9,12,4.07
Botahtaung,40995,16475.34,19,21,8.84
Mayangone,198113,7331.94,33,39,15.25
Kyeemyindaing,111514,25493.99,16,29,7.78
Latha,25057,40681.33,10,17,14.43
Mingalartaungnyunt,132494,26629.38,11,14,11.19
Tamwe,165313,33362.25,43,83,12.17
Thaketa,220556,16118.71,57,31,6.07
Dagon Myothit (East),165628,1206.61,39,19,4.66
Ahlone,55482,16818.18,11,12,10.68
Shwepyithar,343526,6129.92,72,76,6.6
Sanchaung,99619,40930.67,43,41,20.66
Kawhmu,119050,193.42,8,6,7.56
North Okkalapa,333293,11962.99,107,127,5.42
Cocokyun,1940,58.23,0,0,19.0
Yankin,70946,14861.81,15,12,13.33
Thanlyin,268063,745.71,37,15,4.84
Mingaladon,331586,2583.67,27,26,16.76
Dagon Myothit (South),371646,9938.29,33,29,5.28
Kamaryut,84569,13214.66,139,25,20.6
Thingangyun,209486,16055.69,51,62,7.23
Bahan,96732,11386.41,47,39,24.16
Dawbon,75325,24991.95,12,9,6.55
Pabedan,33336,52529.77,6,16,14.93
Twantay,226836,314.3,5,5,5.38
Seikgyikanaungto,34003,2820.85,2,2,4.15
Dagon,25082,5140.07,14,6,25.8
Seikkan,2826,2267.88,1,2,5.19
South Okkalapa,161126,19386.62,46,39,6.83
Taikkyi,277268,157.14,5,10,37.54
Hlaing,160307,15807.35,46,48,10.76
Dala,172857,752.85,21,7,3.58
Hlaingtharya,687867,8143.96,103,22,4.4
Dagon Myothit (Seikkan),167448,2169.35,15,24,4.2
